id,bank,close_price,high_price,history,low_price,open_price,volume
419,"Garanti BBVA",48.74,50.45,"Nov 8, 2023",48.56,50.1,30469849
420,"Garanti BBVA",48.34,49.14,"Nov 9, 2023",47.88,48.24,26953547
421,"Garanti BBVA",47.8,48.88,"Nov 10, 2023",47.6,48.38,21864447
422,"Garanti BBVA",0,0,"Nov 11, 2023",0,0,0
423,"Garanti BBVA",0,0,"Nov 12, 2023",0,0,0
424,"Garanti BBVA",45.92,47.48,"Nov 13, 2023",45.66,47.26,28020376
425,"Garanti BBVA",46.4,46.88,"Nov 14, 2023",45.24,46,35135582
426,"Garanti BBVA",46.2,46.86,"Nov 15, 2023",45.98,46.7,30971304
427,"Garanti BBVA",47.32,47.58,"Nov 16, 2023",46.26,46.28,26185565
428,"Garanti BBVA",47.42,47.84,"Nov 17, 2023",47,47.24,24538472
429,"Garanti BBVA",0,0,"Nov 18, 2023",0,0,0
430,"Garanti BBVA",0,0,"Nov 19, 2023",0,0,0
431,"Garanti BBVA",48.64,49.02,"Nov 20, 2023",47.76,47.78,23468846
432,"Garanti BBVA",49.04,49.58,"Nov 21, 2023",48.32,49,28706121
433,"Garanti BBVA",49.44,49.8,"Nov 22, 2023",48.58,49.02,32303880
434,"Garanti BBVA",50.25,51.7,"Nov 23, 2023",49.5,49.6,58179787
435,"Garanti BBVA",51.65,52,"Nov 24, 2023",49.36,50.25,38209670
436,"Garanti BBVA",0,0,"Nov 25, 2023",0,0,0
437,"Garanti BBVA",0,0,"Nov 26, 2023",0,0,0
438,"Garanti BBVA",54.75,55.25,"Nov 27, 2023",52.55,53.25,53303684
439,"Garanti BBVA",54.5,55.7,"Nov 28, 2023",53.9,54.2,47035851
440,"Garanti BBVA",54.25,55,"Nov 29, 2023",53.45,54.5,23926508
441,"Garanti BBVA",54.05,55.4,"Nov 30, 2023",53.6,54,24673499
442,"Garanti BBVA",54,55.05,"Oct 2, 2023",53.05,53.8,56418434
443,"Garanti BBVA",53.3,54.3,"Oct 3, 2023",52.4,54.2,32361981
444,"Garanti BBVA",51.7,53.75,"Oct 4, 2023",51.7,53.25,36116949
445,"Garanti BBVA",52.7,52.95,"Oct 5, 2023",50.35,52.1,50449835
446,"Garanti BBVA",51.6,52.8,"Oct 6, 2023",51.45,52,31455272
447,"Garanti BBVA",0,0,"Oct 7, 2023",0,0,0
448,"Garanti BBVA",0,0,"Oct 8, 2023",0,0,0
449,"Garanti BBVA",49.8,51.05,"Oct 9, 2023",49.5,50.25,38848549
450,"Garanti BBVA",51,51.3,"Oct 10, 2023",50.15,50.7,32884966
451,"Garanti BBVA",50.9,52.1,"Oct 11, 2023",50.25,51.05,32255893
452,"Garanti BBVA",50,51.95,"Oct 12, 2023",48.94,51.4,36017420
453,"Garanti BBVA",48.6,49.94,"Oct 13, 2023",48.48,49.5,24585838
454,"Garanti BBVA",0,0,"Oct 14, 2023",0,0,0
455,"Garanti BBVA",0,0,"Oct 15, 2023",0,0,0
456,"Garanti BBVA",48.34,49.34,"Oct 16, 2023",47.76,49.2,24391127
457,"Garanti BBVA",49.42,49.54,"Oct 17, 2023",48.06,48.36,28793380
458,"Garanti BBVA",47.38,48.9,"Oct 18, 2023",47.26,48,25973892
459,"Garanti BBVA",46.24,47.98,"Oct 19, 2023",46.04,47.38,43956505
460,"Garanti BBVA",44.62,45.94,"Oct 20, 2023",44.16,45.7,28937551
461,"Garanti BBVA",0,0,"Oct 21, 2023",0,0,0
462,"Garanti BBVA",0,0,"Oct 22, 2023",0,0,0
463,"Garanti BBVA",46,46.04,"Oct 23, 2023",44.52,45.06,29792228
464,"Garanti BBVA",49.7,50.6,"Oct 24, 2023",46.06,46.5,51172575
465,"Garanti BBVA",45.5,50.2,"Oct 25, 2023",45.42,49.82,35806691
466,"Garanti BBVA",47.74,48.58,"Oct 26, 2023",45.44,46.22,65728529
467,"Garanti BBVA",49.12,49.88,"Oct 27, 2023",47.52,47.88,47721147
468,"Garanti BBVA",0,0,"Oct 28, 2023",0,0,0
469,"Garanti BBVA",0,0,"Oct 29, 2023",0,0,0
470,"Garanti BBVA",48.44,50.3,"Oct 30, 2023",47.88,49.02,34875994
471,"Garanti BBVA",47,49.32,"Oct 31, 2023",46.82,49,34643918
472,"Garanti BBVA",50.05,50.45,"Sep 19, 2023",49.02,49.66,43317515
473,"Garanti BBVA",51.5,52.95,"Sep 20, 2023",49.84,50.05,64818497
474,"Garanti BBVA",52,53.5,"Sep 21, 2023",50.4,51.5,104964637
475,"Garanti BBVA",50.8,52.3,"Sep 22, 2023",50.8,52,52605579
476,"Garanti BBVA",0,0,"Sep 23, 2023",0,0,0
477,"Garanti BBVA",0,0,"Sep 24, 2023",0,0,0
478,"Garanti BBVA",51.55,52.2,"Sep 25, 2023",50.8,50.95,56997929
479,"Garanti BBVA",51.45,52.9,"Sep 26, 2023",51.3,51.85,59341332
480,"Garanti BBVA",50.8,51.85,"Sep 27, 2023",50.65,51.6,42455913
481,"Garanti BBVA",51.1,51.6,"Sep 28, 2023",50.9,50.95,44031830
482,"Garanti BBVA",53.25,54.6,"Sep 29, 2023",51.4,51.4,75151115
483,Akbank,61.45,61.45,"Sep 2, 2024",58.65,58.7,65892355
